,Pos,Player,Team,Matches,Wickets,Day,Month
0,1,Yuzvendra Chahal,RR,6,17,21,4
1,2,Kuldeep Yadav,DC,6,13,21,4
2,3,T Natarajan,SRH,6,12,21,4
3,4,Avesh Khan,LSG,7,11,21,4
4,5,Wanindu Hasaranga,RCB,7,11,21,4
5,6,Khaleel Ahmed,DC,5,10,21,4
6,7,Rahul Chahar,PBKS,7,10,21,4
7,8,Umesh Yadav,KKR,7,10,21,4
8,9,Dwayne Bravo,CSK,6,10,21,4
9,10,Umran Malik,SRH,6,9,21,4
10,11,Josh Hazlewood,RCB,3,8,21,4
11,12,Harshal Patel,RCB,6,8,21,4
