,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Pos,Player,Team,Matches,Innings,Runs,Fifties,Highest Score,Day,Month
24,24,24.0,24.0,24.0,24.0,24.0,24.0,25,Sanju Samson,Rajasthan,5,5,117,1,55,14,4
25,25,25.0,25.0,25.0,25.0,25.0,0.0,1,Jos Buttler,Rajasthan,5,5,272,2,100,15,4
26,26,26.0,26.0,26.0,26.0,26.0,1.0,2,Shubman Gill,Gujarat,5,5,200,2,96,15,4
27,27,27.0,27.0,27.0,27.0,27.0,2.0,3,Shivam Dube,Chennai,5,5,207,2,95,15,4
28,28,28.0,28.0,28.0,28.0,28.0,3.0,4,Robin Uthappa,Chennai,5,5,194,2,88,15,4
29,29,29.0,29.0,29.0,29.0,29.0,4.0,5,Hardik Pandya,Gujarat,5,5,228,2,87,15,4
30,30,30.0,30.0,30.0,30.0,30.0,5.0,6,Ishan Kishan,Mumbai,5,5,178,2,81,15,4
31,31,31.0,31.0,31.0,31.0,31.0,6.0,7,Quinton de Kock,Lucknow,5,5,188,2,80,15,4
32,32,32.0,32.0,32.0,32.0,32.0,7.0,8,Aiden Markram,Hyderabad,5,4,149,2,68,15,4
33,33,33.0,33.0,33.0,33.0,33.0,8.0,9,Suryakumar Yadav,Mumbai,3,3,163,2,68,15,4
34,34,34.0,34.0,34.0,34.0,34.0,9.0,10,Liam Livingstone,Punjab,5,5,164,2,64,15,4
35,35,35.0,35.0,35.0,35.0,35.0,10.0,11,Prithvi Shaw,Delhi,4,4,160,2,61,15,4
36,36,36.0,36.0,36.0,36.0,36.0,11.0,12,Deepak Hooda,Lucknow,5,5,155,2,55,15,4
37,37,37.0,37.0,37.0,37.0,37.0,12.0,13,Faf du Plessis,Bangalore,5,5,146,1,88,15,4
38,38,38.0,38.0,38.0,38.0,38.0,13.0,14,Abhishek Sharma,Hyderabad,5,5,142,1,75,15,4
39,39,39.0,39.0,39.0,39.0,39.0,14.0,15,Rahul Tripathi,Hyderabad,5,5,171,1,71,15,4
40,40,40.0,40.0,40.0,40.0,40.0,15.0,16,Andre Russell,Kolkata,6,5,179,1,70,15,4
41,41,41.0,41.0,41.0,41.0,41.0,16.0,17,Shikhar Dhawan,Punjab,5,5,197,1,70,15,4
42,42,42.0,42.0,42.0,42.0,42.0,17.0,18,Lokesh Rahul,Lucknow,5,5,132,1,68,15,4
43,43,43.0,43.0,43.0,43.0,43.0,18.0,19,Anuj Rawat,Bangalore,5,5,125,1,66,15,4
