,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Pos,Player,Team,Matches,Innings,Average,Day,Month
94,94,94.0,94.0,94.0,19.0,,,20,Yash Dayal,Gujarat,2,2,20.0,17,4
95,95,95.0,95.0,95.0,20.0,,,21,Kagiso Rabada,Punjab,5,5,20.57,17,4
96,96,96.0,96.0,96.0,21.0,,,22,Harshal Patel,Bangalore,5,5,21.33,17,4
97,97,97.0,97.0,97.0,22.0,,,23,Lalit Yadav,Delhi,5,3,22.0,17,4
98,98,98.0,98.0,98.0,23.0,,,24,Umran Malik,Hyderabad,6,6,22.33,17,4
99,99,99.0,99.0,99.0,24.0,,,25,Mohammed Shami,Gujarat,6,6,22.75,17,4
100,100,100.0,100.0,0.0,,,,1,Dewald Brevis,Mumbai,4,1,8.0,18,4
101,101,101.0,101.0,1.0,,,,2,Yuzvendra Chahal,Rajasthan,6,6,10.35,18,4
102,102,102.0,102.0,2.0,,,,3,Tim Southee,Kolkata,2,2,11.2,18,4
103,103,103.0,103.0,3.0,,,,4,Marcus Stoinis,Lucknow,2,1,13.0,18,4
104,104,104.0,104.0,4.0,,,,5,Maheesh Theekshana,Chennai,3,3,14.67,18,4
105,105,105.0,105.0,5.0,,,,6,Kuldeep Yadav,Delhi,5,5,14.73,18,4
106,106,106.0,106.0,6.0,,,,7,Dwaine Pretorius,Chennai,2,2,15.25,18,4
107,107,107.0,107.0,7.0,,,,8,Josh Hazlewood,Bangalore,2,2,15.25,18,4
108,108,108.0,108.0,8.0,,,,9,Khaleel Ahmed,Delhi,4,4,15.25,18,4
109,109,109.0,109.0,9.0,,,,10,Aiden Markram,Hyderabad,6,2,17.0,18,4
110,110,110.0,110.0,10.0,,,,11,Alzarri Joseph,Gujarat,1,1,17.0,18,4
111,111,111.0,111.0,11.0,,,,12,Avesh Khan,Lucknow,6,6,17.09,18,4
112,112,112.0,112.0,12.0,,,,13,T Natarajan,Hyderabad,6,6,17.33,18,4
113,113,113.0,113.0,13.0,,,,14,Krishnappa Gowtham,Lucknow,2,2,17.67,18,4
114,114,114.0,114.0,14.0,,,,15,Wanindu Hasaranga,Bangalore,6,6,17.73,18,4
115,115,115.0,115.0,15.0,,,,16,Dwayne Bravo,Chennai,6,6,18.1,18,4
116,116,116.0,116.0,16.0,,,,17,Rahul Chahar,Punjab,6,6,19.22,18,4
117,117,117.0,117.0,17.0,,,,18,Yash Dayal,Gujarat,2,2,20.0,18,4
118,118,118.0,118.0,18.0,,,,19,Obed McCoy,Rajasthan,1,1,20.5,18,4
119,119,119.0,119.0,19.0,,,,20,Kagiso Rabada,Punjab,5,5,20.57,18,4
120,120,120.0,120.0,20.0,,,,21,Umesh Yadav,Kolkata,7,7,20.7,18,4
121,121,121.0,121.0,21.0,,,,22,Harshal Patel,Bangalore,5,5,21.33,18,4
122,122,122.0,122.0,22.0,,,,23,Lalit Yadav,Delhi,5,3,22.0,18,4
123,123,123.0,123.0,23.0,,,,24,Umran Malik,Hyderabad,6,6,22.33,18,4
124,124,124.0,124.0,24.0,,,,25,Mohammed Shami,Gujarat,6,6,22.75,18,4
125,125,125.0,0.0,,,,,1,Dewald Brevis,Mumbai,4,1,8.0,19,4
126,126,126.0,1.0,,,,,2,Yuzvendra Chahal,Rajasthan,6,6,10.35,19,4
127,127,127.0,2.0,,,,,3,Josh Hazlewood,Bangalore,3,3,10.75,19,4
128,128,128.0,3.0,,,,,4,Tim Southee,Kolkata,2,2,11.2,19,4
129,129,129.0,4.0,,,,,5,Maheesh Theekshana,Chennai,3,3,14.67,19,4
130,130,130.0,5.0,,,,,6,Kuldeep Yadav,Delhi,5,5,14.73,19,4
131,131,131.0,6.0,,,,,7,Dwaine Pretorius,Chennai,2,2,15.25,19,4
132,132,132.0,7.0,,,,,8,Khaleel Ahmed,Delhi,4,4,15.25,19,4
133,133,133.0,8.0,,,,,9,Aiden Markram,Hyderabad,6,2,17.0,19,4
134,134,134.0,9.0,,,,,10,Alzarri Joseph,Gujarat,1,1,17.0,19,4
135,135,135.0,10.0,,,,,11,T Natarajan,Hyderabad,6,6,17.33,19,4
136,136,136.0,11.0,,,,,12,Krishnappa Gowtham,Lucknow,2,2,17.67,19,4
137,137,137.0,12.0,,,,,13,Dwayne Bravo,Chennai,6,6,18.1,19,4
138,138,138.0,13.0,,,,,14,Rahul Chahar,Punjab,6,6,19.22,19,4
139,139,139.0,14.0,,,,,15,Wanindu Hasaranga,Bangalore,7,7,19.55,19,4
140,140,140.0,15.0,,,,,16,Yash Dayal,Gujarat,2,2,20.0,19,4
141,141,141.0,16.0,,,,,17,Avesh Khan,Lucknow,7,7,20.09,19,4
142,142,142.0,17.0,,,,,18,Obed McCoy,Rajasthan,1,1,20.5,19,4
143,143,143.0,18.0,,,,,19,Kagiso Rabada,Punjab,5,5,20.57,19,4
144,144,144.0,19.0,,,,,20,Umesh Yadav,Kolkata,7,7,20.7,19,4
145,145,145.0,20.0,,,,,21,Jason Holder,Lucknow,5,5,21.62,19,4
146,146,146.0,21.0,,,,,22,Harshal Patel,Bangalore,6,6,21.88,19,4
147,147,147.0,22.0,,,,,23,Lalit Yadav,Delhi,5,3,22.0,19,4
148,148,148.0,23.0,,,,,24,Umran Malik,Hyderabad,6,6,22.33,19,4
149,149,149.0,24.0,,,,,25,Mohammed Shami,Gujarat,6,6,22.75,19,4
150,150,0.0,,,,,,1,Dewald Brevis,Mumbai,4,1,8.0,20,4
151,151,1.0,,,,,,2,Yuzvendra Chahal,Rajasthan,6,6,10.35,20,4
152,152,2.0,,,,,,3,Josh Hazlewood,Bangalore,3,3,10.75,20,4
153,153,3.0,,,,,,4,Tim Southee,Kolkata,2,2,11.2,20,4
154,154,4.0,,,,,,5,Lalit Yadav,Delhi,6,4,13.75,20,4
155,155,5.0,,,,,,6,Khaleel Ahmed,Delhi,5,5,14.3,20,4
156,156,6.0,,,,,,7,Kuldeep Yadav,Delhi,6,6,14.31,20,4
157,157,7.0,,,,,,8,Maheesh Theekshana,Chennai,3,3,14.67,20,4
158,158,8.0,,,,,,9,Dwaine Pretorius,Chennai,2,2,15.25,20,4
159,159,9.0,,,,,,10,Aiden Markram,Hyderabad,6,2,17.0,20,4
160,160,10.0,,,,,,11,Alzarri Joseph,Gujarat,1,1,17.0,20,4
161,161,11.0,,,,,,12,T Natarajan,Hyderabad,6,6,17.33,20,4
162,162,12.0,,,,,,13,Krishnappa Gowtham,Lucknow,2,2,17.67,20,4
163,163,13.0,,,,,,14,Dwayne Bravo,Chennai,6,6,18.1,20,4
164,164,14.0,,,,,,15,Rahul Chahar,Punjab,7,7,19.4,20,4
